Month,Region,Increase(%)
2000-02-29,48097,3.20
2000-03-31,19133,2.75
2000-04-30,94508,4.68
2000-05-31,02543,4.77
2000-06-30,94702,4.83
2000-07-31,94702,4.80
2000-08-31,64108,5.99
2000-09-30,96140,6.12
2000-10-31,19133,6.30
2000-11-30,19133,5.65
2000-12-31,19133,4.98
2001-01-31,14809,5.27
2001-02-28,96141,4.36
2001-03-31,99517,5.04
2001-04-30,94608,4.40
2001-05-31,29458,4.50
2001-06-30,43604,6.80
2001-07-31,43604,7.24
2001-08-31,43604,5.21
2001-09-30,32640,5.02
2001-10-31,02302,6.01
2001-11-30,19133,5.76
2001-12-31,02302,5.09
2002-01-31,14001,3.96
2002-02-28,33308,3.60
2002-03-31,11362,5.31
2002-04-30,11362,4.87
2002-05-31,29160,4.08
2002-06-30,11414,5.38
2002-07-31,14033,4.59
2002-08-31,94508,5.85
2002-09-30,20115,10.33
2002-10-31,02807,4.20
2002-11-30,45872,3.56
2002-12-31,14201,4.90
2003-01-31,14201,6.51
2003-02-28,44127,4.28
2003-03-31,48209,4.19
2003-04-30,19123,5.38
2003-05-31,19133,5.58
2003-06-30,12547,12.19
2003-07-31,12466,12.83
2003-08-31,14214,5.33
2003-09-30,14214,5.17
2003-10-31,96756,11.92
2003-11-30,72732,3.95
2003-12-31,19146,4.29
2004-01-31,45385,7.85
2004-02-29,45434,15.19
2004-03-31,45324,14.09
2004-04-30,92067,15.42
2004-05-31,75019,5.41
2004-06-30,89131,4.12
2004-07-31,89148,4.93
2004-08-31,19140,5.64
2004-09-30,23860,6.68
2004-10-31,37772,10.49
2004-11-30,93203,6.02
2004-12-31,13679,15.81
2005-01-31,49073,7.00
2005-02-28,66607,6.47
2005-03-31,24701,5.85
2005-04-30,22902,10.61
2005-05-31,22903,11.06
2005-06-30,85715,7.47
2005-07-31,85297,5.28
2005-08-31,28080,9.21
2005-09-30,17304,5.81
2005-10-31,13036,7.32
2005-11-30,17340,13.43
2005-12-31,17407,12.07
2006-01-31,81401,10.54
2006-02-28,28607,13.43
2006-03-31,34946,4.74
2006-04-30,72801,9.73
2006-05-31,42001,15.99
2006-06-30,25427,6.84
2006-07-31,14201,5.30
2006-08-31,31313,10.69
2006-09-30,40701,12.12
2006-10-31,19122,3.83
2006-11-30,19122,4.02
2006-12-31,83634,9.50
2007-01-31,83714,11.91
2007-02-28,19121,3.35
2007-03-31,35601,6.06
2007-04-30,35601,4.40
2007-05-31,35749,7.72
2007-06-30,35749,6.92
2007-07-31,35748,5.07
2007-08-31,35748,6.60
2007-09-30,35748,6.54
2007-10-31,35603,6.30
2007-11-30,35603,6.05
2007-12-31,45207,5.06
2008-01-31,45207,6.55
2008-02-29,45207,6.64
2008-03-31,45207,3.79
2008-04-30,06776,5.48
2008-05-31,35761,4.39
2008-06-30,08085,9.41
2008-07-31,44273,13.74
2008-08-31,23229,29.64
2008-09-30,48205,5.79
2008-10-31,23238,28.84
2008-11-30,06330,12.22
2008-12-31,35773,5.37
2009-01-31,74127,6.31
2009-02-28,36528,5.25
2009-03-31,40242,7.50
2009-04-30,04345,6.99
2009-05-31,68110,4.89
2009-06-30,45458,5.56
2009-07-31,45458,5.29
2009-08-31,92104,5.38
2009-09-30,39213,4.99
2009-10-31,13685,7.03
2009-11-30,36587,5.08
2009-12-31,36587,5.81
2010-01-31,44112,6.02
2010-02-28,45694,10.53
2010-03-31,28782,8.18
2010-04-30,45648,15.54
2010-05-31,50112,10.29
2010-06-30,55051,7.16
2010-07-31,80125,8.01
2010-08-31,43764,8.70
2010-09-30,03825,3.98
2010-10-31,62088,6.94
2010-11-30,70117,4.12
2010-12-31,70117,2.96
2011-01-31,48205,4.09
2011-02-28,48215,4.46
2011-03-31,04444,5.61
2011-04-30,50220,4.49
2011-05-31,64126,4.61
2011-06-30,08243,4.36
2011-07-31,35224,4.74
2011-08-31,35224,4.99
2011-09-30,46392,10.60
2011-10-31,21502,8.00
2011-11-30,33928,4.16
2011-12-31,35208,5.67
2012-01-31,36105,6.22
2012-02-29,36105,7.71
2012-03-31,21502,14.13
2012-04-30,18324,10.28
2012-05-31,63775,9.98
2012-06-30,45306,11.90
2012-07-31,28170,8.70
2012-08-31,60914,6.74
2012-09-30,35748,5.82
2012-10-31,66067,6.98
2012-11-30,35748,4.69
2012-12-31,35748,3.89
2013-01-31,35204,4.13
2013-02-28,35204,3.91
2013-03-31,48120,3.97
2013-04-30,44311,4.11
2013-05-31,94607,4.52
2013-06-30,94607,4.81
2013-07-31,48223,5.31
2013-08-31,48043,4.94
2013-09-30,40211,4.87
2013-10-31,60153,5.01
2013-11-30,10024,5.50
2013-12-31,10024,5.04
2014-01-31,32808,3.15
2014-02-28,10023,3.32
2014-03-31,46201,3.32
2014-04-30,45404,5.57
2014-05-31,45404,5.93
2014-06-30,45404,4.65
2014-07-31,53218,3.72
2014-08-31,47713,4.35
2014-09-30,39209,5.11
2014-10-31,39209,3.90
2014-11-30,35218,4.00
2014-12-31,35218,4.25
2015-01-31,46407,4.24
2015-02-28,70119,4.29
2015-03-31,70119,4.12
2015-04-30,48215,3.83
2015-05-31,48214,4.17
2015-06-30,35218,4.61
2015-07-31,44110,4.63
2015-08-31,30310,3.94
2015-09-30,48213,4.02
2015-10-31,48214,5.05
2015-11-30,48202,3.93
2015-12-31,83254,3.24
2016-01-31,83287,6.96
2016-02-29,46601,3.47
2016-03-31,90066,4.46
2016-04-30,14605,4.83
2016-05-31,14605,6.34
2016-06-30,14621,20.13
2016-07-31,43222,4.37
2016-08-31,43222,4.31
2016-09-30,19133,4.07
2016-10-31,19133,4.40
2016-11-30,33136,3.47
2016-12-31,43222,3.81
2017-01-31,44504,4.49
2017-02-28,44504,4.92
2017-03-31,90403,4.72
2017-04-30,48215,5.14
2017-05-31,85658,7.86
2017-06-30,90210,3.78
2017-07-31,48141,3.56
2017-08-31,32206,3.94
2017-09-30,48213,4.07
2017-10-31,48213,4.60
2017-11-30,62691,4.40
2017-12-31,62691,5.52
2018-01-31,70819,4.76
2018-02-28,94086,4.77
2018-03-31,94086,6.01
2018-04-30,94086,5.96
2018-05-31,94089,4.86
2018-06-30,46409,4.09
2018-07-31,46409,4.20
2018-08-31,30314,4.03
2018-09-30,30314,4.95
2018-10-31,90210,4.92
2018-11-30,30314,4.74
2018-12-31,30314,4.22
2019-01-31,64128,3.70
2019-02-28,48602,3.56
2019-03-31,43610,4.02
2019-04-30,99645,7.66
2019-05-31,99654,9.82
2019-06-30,35234,3.98
2019-07-31,30314,3.24
2019-08-31,19133,3.23
2019-09-30,19133,2.58
2019-10-31,19133,3.37
2019-11-30,43203,3.44
2019-12-31,74106,3.30
2020-01-31,74106,3.43
2020-02-29,67669,3.62
2020-03-31,67669,5.20
2020-04-30,67861,7.99
2020-05-31,19133,4.38
2020-06-30,16920,2.42
2020-07-31,81054,3.59
2020-08-31,81054,4.63
2020-09-30,17976,5.09
2020-10-31,44902,7.33
2020-11-30,56353,7.63
2020-12-31,06255,14.89
2021-01-31,03894,15.07
2021-02-28,66101,5.79
2021-03-31,15110,5.33
2021-04-30,78681,5.65
2021-05-31,78613,17.97
2021-06-30,76537,9.41
2021-07-31,78641,25.08
2021-08-31,34747,8.99
2021-09-30,78373,26.17
2021-10-31,02134,8.18
2021-11-30,33480,4.08
2021-12-31,33036,3.88
2022-01-31,33480,4.81
2022-02-28,33480,5.83
2022-03-31,33480,7.17
2022-04-30,33480,7.16
2022-05-31,33480,5.97
2022-06-30,44691,5.33
2022-07-31,44691,6.49
2022-08-31,44691,5.60
2022-09-30,44691,4.29
2022-10-31,44691,3.23
2022-11-30,44606,2.93
2022-12-31,44606,3.26
2023-01-31,44606,3.74
2023-02-28,56081,2.59
2023-03-31,83833,2.84
2023-04-30,46803,3.21
2023-05-31,35234,3.62
2023-06-30,25840,3.34
2023-07-31,26415,2.74
2023-08-31,23221,3.59
2023-09-30,23221,4.06
2023-10-31,23221,4.54
2023-11-30,23221,4.73
2023-12-31,23221,4.59
2024-01-31,23221,3.01
2024-02-29,25703,2.28
2024-03-31,48505,3.72
2024-04-30,44507,4.61
2024-05-31,44507,5.13
2024-06-30,15110,4.84
2024-07-31,71202,3.10
RegionID,49037,158.02
SizeRank,34681,-45.34